lat;long;location;continent
-61;-55;South Shetland Islands;
-60;-24;South Sandwich Islands region;
-60;-24;South Sandwich Islands region;
-60;-25;South Sandwich Islands region;
-60;-26;Bristol Island  South Sandwich Islands;
-58;-23;South Sandwich Islands region;
-58;-25;South Sandwich Islands region;
-58;-26;South Sandwich Islands region;
-58;-25;Bristol Island  South Sandwich Islands;
-57;-25;South Sandwich Islands region;
-56;-25;South Sandwich Islands region;
-56;-26;South Sandwich Islands region;
-55;-28;South Sandwich Islands region;
-54;2;Bouvet Island region;
-49;164;Auckland Islands  New Zealand region;
-46;164;Riverton  New Zealand;
-45;166;Te Anau  New Zealand;
-45;167;Te Anau  New Zealand;
-44;167;Te Anau  New Zealand;
-43;-73;Quellón  Chile;South America
-43;42;Prince Edward Islands region;
-43;171;Methven  New Zealand;
-42;173;Amberley  New Zealand;
-42;173;Blenheim  New Zealand;
-42;173;Amberley  New Zealand;
-41;174;Blenheim  New Zealand;
-41;174;Blenheim  New Zealand;
-39;-74;Corral  Chile;
-39;178;Gisborne  New Zealand;
-38;-73;Carahue  Chile;South America
-38;-73;Cañete  Chile;South America
-37;-73;Cañete  Chile;South America
-37;-75;Lebu  Chile;
-37;179;Gisborne  New Zealand;
-37;179;Gisborne  New Zealand;
-37;179;Gisborne  New Zealand;
-36;-72;Tomé  Chile;South America
-36;-72;Quirihue  Chile;South America
-36;-73;Tomé  Chile;
-36;-73;Talcahuano  Chile;
-35;-72;Constitución  Chile;South America
-35;-70;Teno  Chile;South America
-35;-73;Constitución  Chile;
-35;-72;Constitución  Chile;
-34;-71;Santa Cruz  Chile;South America
-34;-71;Santa Cruz  Chile;South America
-34;-72;San Antonio  Chile;
-33;-72;Valparaíso  Chile;
-33;-177;the Kerma12 Islands;
-32;-71;Hacienda La Calera  Chile;South America
-32;-178;the Kerma12 Islands;
-32;-177;the Kerma12 Islands;
-31;-71;Illapel  Chile;South America
-31;-71;Illapel  Chile;South America
-31;-71;Illapel  Chile;
-31;-71;Illapel  Chile;
-31;-71;Illapel  Chile;
-31;-179;Kerma12 Islands region;
-30;-71;Coquimbo  Chile;South America
-30;-71;Ovalle  Chile;South America
-30;-71;Coquimbo  Chile;South America
-30;-71;Ovalle  Chile;South America
-30;-71;Monte Patria  Chile;South America
-30;-177;Kerma12 Islands  New Zealand;
-30;-177;Kerma12 Islands  New Zealand;
-30;-178;L'Esperance Rock  New Zealand;
-30;-178;Kerma12 Islands  New Zealand;
-29;-72;Coquimbo  Chile;
-29;-72;Coquimbo  Chile;
-29;-177;Kerma12 Islands  New Zealand;
-29;-177;Kerma12 Islands  New Zealand;
-29;-177;Kerma12 Islands  New Zealand;
-29;-177;Kerma12 Islands  New Zealand;
-29;-177;Kerma12 Islands  New Zealand;
-29;-176;Kerma12 Islands region;
-29;-176;Kerma12 Islands region;
-28;-70;Vallenar  Chile;South America
-28;-71;Vallenar  Chile;
-28;-176;Kerma12 Islands region;
-27;-70;Copiapó  Chile;South America
-27;-71;Vallenar  Chile;
-27;-71;Copiapó  Chile;
-27;-71;Copiapó  Chile;
-26;178;the Fiji Islands;
-25;178;the Fiji Islands;
-25;178;the Fiji Islands;
-23;-66;El Aguilar  Argentina;South America
-23;-68;San Pedro de Atacama  Chile;South America
-23;-66;San Antonio de los Cobres  Argentina;South America
-23;-179;the Fiji Islands;
-23;171;the Loyalty Islands;
-23;-178;the Fiji Islands;
-23;-177;Vaini  Tonga;
-23;-174;‘Ohonua  Tonga;
-22;25;Moijabana  Botswana;Africa
