volcano_number;volcano_name;primary_volcano_type;country;region;subregion;elevation;tectonic_settings;evidence_category;major_rock;population_nearby
271080;Camiguin;Stratovolcano(es);Philippines;Philippines and SE Asia;Mindanao;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;alot
345060;Irazu;Stratovolcano;Costa Rica;México and Central America;Costa Rica;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
334050;Northern EPR at 9.8°N;Submarine;Undersea Features;Hawaii and Pacific Ocean;Pacific Ocean (eastern);low;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
221190;Fentale;Stratovolcano;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;high;Rift zone / Continental crust (>25 km);Eruption Observed;Rhyolite;quite alot
221200;Kone;Caldera(s);Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;medium;Rift zone / Continental crust (>25 km);Eruption Observed;Rhyolite;quite alot
221250;Tullu Moje;Pyroclastic cone;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;high;Rift zone / Continental crust (>25 km);Eruption Observed;Rhyolite;alot
376010;Jan Mayen;Stratovolcano;Norway;Iceland and Arctic Ocean;Atlantic Ocean (Jan Mayen);high;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
221270;Alutu;Stratovolcano;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;high;Rift zone / Continental crust (>25 km);Eruption Dated;Rhyolite;quite alot
271031;Leonard Range;Stratovolcano;Philippines;Philippines and SE Asia;Mindanao;medium;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;few
373100;Tjornes Fracture Zone;Submarine;Iceland;Iceland and Arctic Ocean;Iceland (northeastern);low;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
373090;Theistareykir;Shield;Iceland;Iceland and Arctic Ocean;Iceland (northeastern);low;Rift zone / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;none
314060;Imuruk Lake;Shield(s);United States;Alaska;Alaska (western);low;Intraplate / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;none
