location_key;location_name;lat;long
1;-90, -180;-90;-180
2;-90, -179;-90;-179
3;-90, -178;-90;-178
4;-90, -177;-90;-177
5;-90, -176;-90;-176
6;-90, -175;-90;-175
7;-90, -174;-90;-174
8;-90, -173;-90;-173
9;-90, -172;-90;-172
10;-90, -171;-90;-171
11;-90, -170;-90;-170
12;-90, -169;-90;-169
13;-90, -168;-90;-168
14;-90, -167;-90;-167
15;-90, -166;-90;-166
16;-90, -165;-90;-165
17;-90, -164;-90;-164
18;-90, -163;-90;-163
19;-90, -162;-90;-162
20;-90, -161;-90;-161
21;-90, -160;-90;-160
22;-90, -159;-90;-159
23;-90, -158;-90;-158
24;-90, -157;-90;-157
25;-90, -156;-90;-156
26;-90, -155;-90;-155
27;-90, -154;-90;-154
28;-90, -153;-90;-153
29;-90, -152;-90;-152
30;-90, -151;-90;-151
31;-90, -150;-90;-150
32;-90, -149;-90;-149
33;-90, -148;-90;-148
34;-90, -147;-90;-147
35;-90, -146;-90;-146
36;-90, -145;-90;-145
37;-90, -144;-90;-144
38;-90, -143;-90;-143
39;-90, -142;-90;-142
40;-90, -141;-90;-141
41;-90, -140;-90;-140
42;-90, -139;-90;-139
43;-90, -138;-90;-138
44;-90, -137;-90;-137
45;-90, -136;-90;-136
46;-90, -135;-90;-135
47;-90, -134;-90;-134
48;-90, -133;-90;-133
49;-90, -132;-90;-132
50;-90, -131;-90;-131
51;-90, -130;-90;-130
52;-90, -129;-90;-129
53;-90, -128;-90;-128
54;-90, -127;-90;-127
55;-90, -126;-90;-126
56;-90, -125;-90;-125
57;-90, -124;-90;-124
58;-90, -123;-90;-123
59;-90, -122;-90;-122
60;-90, -121;-90;-121
61;-90, -120;-90;-120
62;-90, -119;-90;-119
63;-90, -118;-90;-118
64;-90, -117;-90;-117
65;-90, -116;-90;-116
66;-90, -115;-90;-115
67;-90, -114;-90;-114
68;-90, -113;-90;-113
69;-90, -112;-90;-112
70;-90, -111;-90;-111
71;-90, -110;-90;-110
72;-90, -109;-90;-109
73;-90, -108;-90;-108
74;-90, -107;-90;-107
75;-90, -106;-90;-106
76;-90, -105;-90;-105
77;-90, -104;-90;-104
78;-90, -103;-90;-103
79;-90, -102;-90;-102
80;-90, -101;-90;-101
81;-90, -100;-90;-100
82;-90, -99;-90;-99
83;-90, -98;-90;-98
84;-90, -97;-90;-97
85;-90, -96;-90;-96
86;-90, -95;-90;-95
87;-90, -94;-90;-94
88;-90, -93;-90;-93
89;-90, -92;-90;-92
90;-90, -91;-90;-91
91;-90, -90;-90;-90
92;-90, -89;-90;-89
93;-90, -88;-90;-88
94;-90, -87;-90;-87
95;-90, -86;-90;-86
96;-90, -85;-90;-85
97;-90, -84;-90;-84
98;-90, -83;-90;-83
99;-90, -82;-90;-82
100;-90, -81;-90;-81
101;-90, -80;-90;-80
102;-90, -79;-90;-79
103;-90, -78;-90;-78
104;-90, -77;-90;-77
105;-90, -76;-90;-76
106;-90, -75;-90;-75
107;-90, -74;-90;-74
108;-90, -73;-90;-73
109;-90, -72;-90;-72
110;-90, -71;-90;-71
111;-90, -70;-90;-70
112;-90, -69;-90;-69
113;-90, -68;-90;-68
114;-90, -67;-90;-67
115;-90, -66;-90;-66
116;-90, -65;-90;-65
117;-90, -64;-90;-64
118;-90, -63;-90;-63
119;-90, -62;-90;-62
120;-90, -61;-90;-61
121;-90, -60;-90;-60
122;-90, -59;-90;-59
123;-90, -58;-90;-58
124;-90, -57;-90;-57
125;-90, -56;-90;-56
126;-90, -55;-90;-55
127;-90, -54;-90;-54
128;-90, -53;-90;-53
129;-90, -52;-90;-52
130;-90, -51;-90;-51
131;-90, -50;-90;-50
132;-90, -49;-90;-49
133;-90, -48;-90;-48
134;-90, -47;-90;-47
135;-90, -46;-90;-46
136;-90, -45;-90;-45
137;-90, -44;-90;-44
138;-90, -43;-90;-43
139;-90, -42;-90;-42
140;-90, -41;-90;-41
141;-90, -40;-90;-40
142;-90, -39;-90;-39
143;-90, -38;-90;-38
144;-90, -37;-90;-37
145;-90, -36;-90;-36
146;-90, -35;-90;-35
147;-90, -34;-90;-34
148;-90, -33;-90;-33
149;-90, -32;-90;-32
150;-90, -31;-90;-31
151;-90, -30;-90;-30
152;-90, -29;-90;-29
153;-90, -28;-90;-28
154;-90, -27;-90;-27
155;-90, -26;-90;-26
156;-90, -25;-90;-25
157;-90, -24;-90;-24
158;-90, -23;-90;-23
159;-90, -22;-90;-22
160;-90, -21;-90;-21
161;-90, -20;-90;-20
162;-90, -19;-90;-19
163;-90, -18;-90;-18
164;-90, -17;-90;-17
165;-90, -16;-90;-16
166;-90, -15;-90;-15
167;-90, -14;-90;-14
168;-90, -13;-90;-13
169;-90, -12;-90;-12
170;-90, -11;-90;-11
171;-90, -10;-90;-10
172;-90, -9;-90;-9
173;-90, -8;-90;-8
174;-90, -7;-90;-7
175;-90, -6;-90;-6
176;-90, -5;-90;-5
177;-90, -4;-90;-4
178;-90, -3;-90;-3
179;-90, -2;-90;-2
180;-90, -1;-90;-1
181;-90, 0;-90;0
182;-90, 1;-90;1
183;-90, 2;-90;2
184;-90, 3;-90;3
185;-90, 4;-90;4
186;-90, 5;-90;5
187;-90, 6;-90;6
188;-90, 7;-90;7
189;-90, 8;-90;8
190;-90, 9;-90;9
191;-90, 10;-90;10
192;-90, 11;-90;11
193;-90, 12;-90;12
194;-90, 13;-90;13
195;-90, 14;-90;14
196;-90, 15;-90;15
197;-90, 16;-90;16
198;-90, 17;-90;17
199;-90, 18;-90;18
200;-90, 19;-90;19
201;-90, 20;-90;20
202;-90, 21;-90;21
203;-90, 22;-90;22
204;-90, 23;-90;23
205;-90, 24;-90;24
206;-90, 25;-90;25
207;-90, 26;-90;26
208;-90, 27;-90;27
